id,keyword_id,count,not_found_count,created_at
1,1,1,"0",2022-06-27
2,2,"0",1,2022-06-27
3,3,"0",1,2022-06-27
4,4,1,"0",2022-06-27
5,5,"0",1,2022-06-27
6,259,0,22,2022-4-17
7,109,0,37,2022-6-16
8,432,0,89,2022-5-9
9,419,0,23,2022-5-27
10,511,0,35,2022-1-16
11,17,99,0,2022-2-9
12,111,34,0,2022-5-6
13,987,98,0,2022-1-25
14,723,0,35,2022-1-7
15,599,0,96,2022-5-10
16,157,51,0,2022-3-7
17,500,59,0,2022-2-22
18,669,67,0,2022-2-12
19,169,46,0,2022-1-16
20,413,17,0,2022-5-23
21,827,46,0,2022-1-21
22,480,0,6,2022-3-11
23,949,0,48,2022-1-7
24,681,91,0,2022-5-25
25,698,0,16,2022-1-12
26,989,0,16,2022-4-24
27,17,0,74,2022-6-9
28,845,0,22,2022-4-17
29,444,0,94,2022-6-21
30,284,0,70,2022-1-16
31,143,10,0,2022-1-18
32,345,0,91,2022-4-16
33,212,40,0,2022-5-15
34,466,18,0,2022-1-6
35,152,0,87,2022-2-27
36,650,59,0,2022-5-3
37,16,78,0,2022-3-15
38,916,60,0,2022-6-5
39,437,29,0,2022-3-12
40,557,8,0,2022-1-2
41,902,0,90,2022-3-15
42,504,0,30,2022-4-8
43,114,50,0,2022-6-17
44,226,0,54,2022-4-19
45,39,56,0,2022-4-7
46,25,0,92,2022-4-6
47,916,63,0,2022-2-9
48,138,63,0,2022-5-21
49,256,0,73,2022-4-19
50,657,31,0,2022-4-8
51,685,0,64,2022-4-21
52,945,0,97,2022-2-11
53,837,0,73,2022-4-21
54,280,0,34,2022-3-16
55,911,32,0,2022-1-19
56,270,0,58,2022-2-20
57,730,0,35,2022-4-20
58,230,58,0,2022-2-11
59,797,0,36,2022-1-24
60,966,42,0,2022-3-23
61,253,3,0,2022-4-2
62,105,0,5,2022-3-7
63,501,1,0,2022-4-11
64,650,35,0,2022-4-8
65,413,19,0,2022-6-1
66,885,6,0,2022-5-13
67,465,0,96,2022-1-5
68,648,0,99,2022-5-3
69,334,0,64,2022-6-4
70,818,0,3,2022-5-7
71,365,40,0,2022-4-9
72,129,46,0,2022-5-16
73,370,27,0,2022-5-4
74,781,14,0,2022-2-24
75,362,1,0,2022-5-16
76,174,16,0,2022-2-26
77,62,62,0,2022-2-6
78,99,27,0,2022-6-12
79,569,0,35,2022-2-12
80,860,0,10,2022-2-8
81,332,0,42,2022-1-26
82,40,80,0,2022-2-7
83,97,0,93,2022-2-25
84,673,15,0,2022-3-15
85,692,31,0,2022-5-2
86,854,86,0,2022-5-4
87,543,1,0,2022-5-24
88,785,88,0,2022-1-2
89,303,0,32,2022-3-2
90,639,0,5,2022-2-8
91,284,78,0,2022-5-1
92,307,0,86,2022-6-1
93,998,2,0,2022-5-24
94,875,0,11,2022-6-25
95,825,14,0,2022-3-16
96,638,48,0,2022-3-19
97,716,16,0,2022-1-3
98,861,42,0,2022-6-17
99,931,0,31,2022-2-23
100,495,100,0,2022-4-20
101,280,0,72,2022-6-12
102,363,0,43,2022-4-11
103,751,25,0,2022-1-8
104,66,50,0,2022-4-7
105,945,0,65,2022-2-24
106,609,49,0,2022-4-24
107,219,98,0,2022-2-3
108,348,14,0,2022-5-27
109,783,0,60,2022-6-23
110,899,0,62,2022-4-27
111,325,0,29,2022-4-13
112,797,0,75,2022-3-26
113,712,0,83,2022-4-2
114,289,0,51,2022-2-12
115,622,0,11,2022-6-24
116,215,0,54,2022-5-7
117,379,0,21,2022-2-12
118,997,0,4,2022-2-23
119,752,0,57,2022-1-12
120,620,0,74,2022-5-3
121,371,0,53,2022-4-27
122,322,0,14,2022-5-16
123,534,0,90,2022-6-17
124,17,39,0,2022-5-4
125,66,66,0,2022-6-12
126,916,7,0,2022-5-21
127,667,12,0,2022-1-20
128,562,0,66,2022-6-10
129,508,79,0,2022-4-26
130,706,0,52,2022-3-7
131,199,0,37,2022-2-6
132,280,15,0,2022-2-3
133,318,0,56,2022-1-6
